14dayquarantine	chen_lerman_ferrara
2019_ncov	twitter_2020-05-13
2019ncov	twitter_2020-05-13
21dayslockdown	twitter_2020-05-13
5baje5minute	twitter_2020-05-13
6 feet apart	lazer_lab
6 feet away	lazer_lab
6 feet between	lazer_lab
9minute9baje	twitter_2020-05-13
9minutesforindia	twitter_2020-05-13
9बजे9मिनट	twitter_2020-05-13
aerosol transmission	lazer_lab
airborne transmission	lazer_lab
aislamientoobligatorio	twitter_2020-05-13
aksiberantascovid19	twitter_2020-05-13
alcool em gel	twitter_2020-05-13
alcool gel	twitter_2020-05-13
alcoolemgel	twitter_2020-05-13
alcoolgel	twitter_2020-05-13
alertacovid19sv	twitter_2020-05-13
americans have died	lazer_lab
ampliarlacuarentenaes	twitter_2020-05-13
anti mask	lazer_lab
anti-lock down	lazer_lab
anti-lockdown	lazer_lab
anti-mask	lazer_lab
antibodies	green_et_al
antibody	lazer_lab
antimask	lazer_lab
armchair epidemiologist	lazer_lab
arrestbillgates	lazer_lab
arrestbillgates2020	lazer_lab
arrestfauci	lazer_lab
asymptomatic	lazer_lab
aula online	twitter_2020-05-13
auxilio emergencial	twitter_2020-05-13
auxilioemergencial	twitter_2020-05-13
avoidcrowds	twitter_2020-05-13
azar	green_et_al
bailout	green_et_al
bailouts	green_et_al
bares cerrados	twitter_2020-05-13
bares fechados	twitter_2020-05-13
bars closed	twitter_2020-05-13
bat soup	green_et_al
bayarealockdown	twitter_2020-05-13
beatcoronavirus	green_et_al
bersamamelawancorona	twitter_2020-05-13
bersatulawancovid19	twitter_2020-05-13
birx	lazer_lab
bloody diwali	twitter_2020-05-13
bloqueio de ruas	twitter_2020-05-13
bloqueio de vias	twitter_2020-05-13
bloqueio em vias	twitter_2020-05-13
bloqueioderuas	twitter_2020-05-13
bloqueou as ruas	twitter_2020-05-13
bogotaencasa	twitter_2020-05-13
bolsonarogenocida	twitter_2020-05-13
boomer remover	lazer_lab
boomerremover	lazer_lab
breakcorona	twitter_2020-05-13
briefing_covid19	twitter_2020-05-13
c19	lazer_lab
c\.d\.c\.	lazer_lab
cadeostestes	twitter_2020-05-13
californialockdown	twitter_2020-05-13
californiaquarantine	twitter_2020-05-13
californiashutdown	twitter_2020-05-13
calockdown	twitter_2020-05-13
canceleverything	chen_lerman_ferrara | twitter_2020-05-13
capitaocorona	twitter_2020-05-13
carona virus	twitter_2020-05-13
caronavirus	twitter_2020-05-13
caronavirusindia	twitter_2020-05-13
caronavirusoutbreak	twitter_2020-05-13
caronavirususa	twitter_2020-05-13
ccp virus	lazer_lab
ccpvirus	green_et_al
cdc	chen_lerman_ferrara
cegahtangkalcorona	twitter_2020-05-13
center for disease control	lazer_lab
centers for disease control	green_et_al | lazer_lab
cerradmadridya	twitter_2020-05-13
chain of transmission	lazer_lab
chegadequarentena	twitter_2020-05-13
china flu	green_et_al
china virus	chen_lerman_ferrara | green_et_al
chinaflu	lazer_lab
chinahidthevirus	green_et_al
chinavirus	chen_lerman_ferrara | green_et_al
chinese flu	green_et_al
chinese virus	chen_lerman_ferrara | green_et_al
chineseflu	lazer_lab
chinesevirus	chen_lerman_ferrara | green_et_al
chloroquine	green_et_al
clapforourcarers	twitter_2020-05-13
clases anuladas	twitter_2020-05-13
clorox	green_et_al
closenycpublicschools	twitter_2020-05-13
cloth mask	lazer_lab
cloth masks	lazer_lab
clubquarantine	twitter_2020-05-13
codvid19	twitter_2020-05-13
codvid_19	twitter_2020-05-13
community spread	lazer_lab
community spreading	lazer_lab
confinementtotal	twitter_2020-05-13
conronaviruspandemic	twitter_2020-05-13
contact & trace	lazer_lab
