	day	n_tweets_all	n_tweets_covid	n_tweets_blm	covid_rehyd	covid_sum	covid_mean	covid_median	blm_rehyd	blm_sum	blm_mean	blm_median	all_rehyd	all_median	all_mean	all_median
0	2020-01-01	780321	1662	0.0	1402	56364805.0	40203.14194008559	104.5	0.0	0.0	0.0	0.0	676841	5.0	22234.603042664377	5.0
1	2020-01-02	757183	2350	0.0	1843	35533908.0	19280.47097124254	56.0	0.0	0.0	0.0	0.0	650657	7.0	21563.398750801112	7.0
2	2020-01-03	982918	1766	0.0	1579	6270383.0	3971.1101963267893	33.0	0.0	0.0	0.0	0.0	833696	19.0	27232.072268548727	19.0
3	2020-01-04	812525	1325	0.0	1182	3206040.0	2712.3857868020305	30.0	0.0	0.0	0.0	0.0	697418	10.0	27153.39303975521	10.0
4	2020-01-05	926721	1187	0.0	1044	4590362.0	4396.89846743295	27.0	0.0	0.0	0.0	0.0	801003	8.0	23616.545674610457	8.0
5	2020-01-06	886953	1555	0.0	1284	5282559.0	4114.142523364486	17.0	0.0	0.0	0.0	0.0	765860	11.0	22730.05063196929	11.0
6	2020-01-07	826800	1866	0.0	1622	2705680.0	1668.1134401972872	20.0	0.0	0.0	0.0	0.0	715952	8.0	18165.535581994325	8.0
7	2020-01-08	948560	2199	0.0	1978	4963761.0	2509.484833164813	29.0	0.0	0.0	0.0	0.0	823146	11.0	23175.845599687054	11.0
8	2020-01-09	878093	2968	0.0	2588	61697490.0	23839.833848531685	80.5	0.0	0.0	0.0	0.0	765669	7.0	19507.139829351847	7.0
9	2020-01-10	865989	3162	0.0	2892	45616095.0	15773.200207468879	214.0	0.0	0.0	0.0	0.0	755136	6.0	21953.468563278668	6.0
10	2020-01-11	783042	2215	0.0	1965	10973353.0	5584.403562340967	164.0	0.0	0.0	0.0	0.0	682471	6.0	20350.262441920608	6.0
11	2020-01-12	832199	1931	0.0	1734	10062187.0	5802.8760092272205	145.0	0.0	0.0	0.0	0.0	723705	6.0	18880.018063990163	6.0
