	day	all_rehyd	all_sum	all_mean	all_median
0	2020-01-01	676841	15049290958.0	22234.603042664377	5.0
1	2020-01-02	650657	14030376341.0	21563.398750801112	7.0
2	2020-01-03	833696	22703269722.0	27232.072268548727	19.0
3	2020-01-04	697418	18937265067.0	27153.39303975521	10.0
4	2020-01-05	801003	18916923935.0	23616.545674610457	8.0
5	2020-01-06	765860	17408036577.0	22730.05063196929	11.0
6	2020-01-07	715952	13005651531.0	18165.535581994325	8.0
7	2020-01-08	823146	19077104602.0	23175.845599687054	11.0
8	2020-01-09	765669	14936012246.0	19507.139829351847	7.0
9	2020-01-10	755136	16577854437.0	21953.468563278668	6.0
10	2020-01-11	682471	13888463959.0	20350.262441920608	6.0
11	2020-01-12	723705	13663563473.0	18880.018063990163	6.0
12	2020-01-13	751663	14699093926.0	19555.430992346304	7.0
13	2020-01-14	814012	16363610844.0	20102.419674402834	7.0
14	2020-01-15	845269	14775290708.0	17479.986498972517	9.0
15	2020-01-16	827852	14174095107.0	17121.53272203244	9.0
16	2020-01-17	771104	23624353957.0	30637.05279313815	7.0
17	2020-01-18	656646	16242184455.0	24735.069512339982	7.0
18	2020-01-19	658116	15102882843.0	22948.66382674179	6.0
19	2020-01-20	717215	15034300729.0	20962.055630459487	8.0
20	2020-01-21	767807	13161272621.0	17141.381390114962	10.0
21	2020-01-22	821809	14817652144.0	18030.53038358061	9.0
22	2020-01-23	787960	14042603207.0	17821.467088430883	7.0
23	2020-01-24	798411	15223774279.0	19067.59085107795	8.0
24	2020-01-25	684807	12402316671.0	18110.67449807026	11.0
25	2020-01-26	828144	74899079375.0	90442.0962719044	58.0
26	2020-01-27	853104	70719941842.0	82897.21047140795	70.0
27	2020-01-28	807265	27933130063.0	34602.181517841105	17.0
28	2020-01-29	789784	18907382832.0	23939.94159415739	11.0
29	2020-01-30	796386	16392273613.0	20583.327196861825	12.0
30	2020-01-31	852247	15166578161.0	17795.988910491913	11.0
31	2020-02-01	730746	16747278349.0	22918.056820016805	13.0
32	2020-02-02	666975	12343283016.0	18506.36533003486	9.0
33	2020-02-03	924147	22333806557.0	24166.94157639423	12.0
34	2020-02-04	832353	14833780322.0	17821.50160088328	11.0
35	2020-02-05	1039391	17850425466.0	17173.927295887686	21.0
36	2020-02-06	859962	13996669687.0	16275.916478867672	11.0
37	2020-02-07	770114	12905920097.0	16758.454069137817	10.0
38	2020-02-08	750275	20085750417.0	26771.184455033155	12.0
39	2020-02-09	660364	13214620255.0	20011.115468135755	10.0
40	2020-02-10	784494	17179210276.0	21898.45974092855	12.0
41	2020-02-11	793249	18531868283.0	23361.98127321938	12.0
42	2020-02-12	855081	16431563632.0	19216.382578960354	13.0
43	2020-02-13	805711	13361257177.0	16583.188236228623	10.0
44	2020-02-14	796620	15259842722.0	19155.736388742436	9.0
45	2020-02-15	649210	11546875670.0	17786.040988278062	11.0
46	2020-02-16	651288	12252190428.0	18812.246545307145	12.0
47	2020-02-17	710324	15466614932.0	21774.028375783444	12.0
48	2020-02-18	784447	15067752474.0	19208.120464480075	12.0
49	2020-02-19	802634	14873607474.0	18530.996038044737	11.0
50	2020-02-20	933917	16789623131.0	17977.639480810394	14.0
51	2020-02-21	788633	14318371593.0	18155.93767062753	11.0
52	2020-02-22	693629	10464280884.0	15086.279385665825	11.0
53	2020-02-23	684349	10623296505.0	15523.214770533748	11.0
54	2020-02-24	739757	16586069715.0	22420.970284836778	13.0
55	2020-02-25	783937	15893735138.0	20274.250530335983	11.0
56	2020-02-26	865149	14302008748.0	16531.26657720231	11.0
57	2020-02-27	798908	13982009927.0	17501.401822237352	10.0
58	2020-02-28	778987	15698410811.0	20152.339911962586	10.0
59	2020-02-29	691168	12318162847.0	17822.241259722672	10.0
60	2020-03-01	682874	13879658761.0	20325.358354542714	12.0
61	2020-03-02	761934	14158686033.0	18582.56231248376	12.0
62	2020-03-03	839075	14414941079.0	17179.56211184936	12.0
63	2020-03-04	918432	17787036098.0	19366.742554701927	12.0
64	2020-03-05	854030	18791309822.0	22003.102727070476	11.0
65	2020-03-06	818733	17693375712.0	21610.67858752487	10.0
66	2020-03-07	702581	15772942384.0	22449.99848273722	11.0
67	2020-03-08	697099	19340176464.0	27743.801761299328	14.0
68	2020-03-09	770216	18146198783.0	23559.88291985625	16.0
69	2020-03-10	835515	16395967799.0	19623.78628630246	12.0
70	2020-03-11	947308	18842076880.0	19890.12747701909	12.0
71	2020-03-12	1240532	56033885124.0	45169.23797532026	39.0
72	2020-03-13	1155379	50257289441.0	43498.53116682924	30.0
73	2020-03-14	943968	42794956420.0	45335.17706108682	31.0
74	2020-03-15	971699	37091457976.0	38171.756867095675	38.0
75	2020-03-16	1162710	62599060910.0	53838.92880425901	32.0
76	2020-03-17	1169867	59786488819.0	51105.37250730211	23.0
77	2020-03-18	1149480	42209366125.0	36720.400637679646	19.0
78	2020-03-19	1145483	40197328266.0	35092.03389836427	18.0
79	2020-03-20	1204042	41296871643.0	34298.530817861836	24.0
80	2020-03-21	1045015	39919489751.0	38199.920337028656	23.0
81	2020-03-22	1050667	44359142598.0	42219.9827328735	31.0
82	2020-03-23	1154881	34013840307.0	29452.24686093199	29.0
83	2020-03-24	1193277	38400764152.0	32180.930456214275	27.0
84	2020-03-25	1132433	32031878479.0	28285.892833395	17.0
85	2020-03-26	1136508	30634117086.0	26954.598723458173	18.0
86	2020-03-27	1100306	24712285251.0	22459.46604944443	13.0
87	2020-03-28	972680	26117757617.0	26851.336119792737	15.0
88	2020-03-29	962818	24750710393.0	25706.530614300937	17.0
89	2020-03-30	1035001	25183747172.0	24332.099362222838	16.0
90	2020-03-31	1049062	27059575174.0	25794.066674800917	15.0
91	2020-04-01	1057758	30511141958.0	28845.106307870043	13.0
92	2020-04-02	1050609	26364485289.0	25094.47881086113	14.0
93	2020-04-03	1058020	23246130790.0	21971.35289503034	14.0
94	2020-04-04	956120	24057342582.0	25161.42595280927	16.0
95	2020-04-05	896178	21735393076.0	24253.432996569878	13.0
96	2020-04-06	797903	18556345813.0	23256.393086628326	19.0
97	2020-04-07	987423	20451608214.0	20712.10435041517	16.0
98	2020-04-08	1038255	20715420957.0	19952.151405001663	11.0
99	2020-04-09	964373	18715926248.0	19407.351976880316	9.0
100	2020-04-10	940719	18871967027.0	20061.21597097539	11.0
101	2020-04-11	826402	14736905428.0	17832.61103917948	9.0
102	2020-04-12	838262	17132983297.0	20438.697324941368	10.0
103	2020-04-13	946384	18777901576.0	19841.73609866608	13.0
104	2020-04-14	999695	23147428112.0	23154.490231520613	12.0
105	2020-04-15	980251	18966412729.0	19348.526784466427	10.0
106	2020-04-16	978810	16507876072.0	16865.250735076264	9.0
107	2020-04-17	987628	17823098289.0	18046.367953318455	10.0
108	2020-04-18	875100	17801985941.0	20342.801898068792	12.0
109	2020-04-19	856438	17947358454.0	20955.817530282402	11.0
110	2020-04-20	937739	24223391280.0	25831.69867095215	14.0
111	2020-04-21	942437	19400594529.0	20585.561187644373	10.0
112	2020-04-22	945676	18545943681.0	19611.308398436675	9.0
113	2020-04-23	938090	19207754200.0	20475.385304181902	8.0
114	2020-04-24	1075461	26290663093.0	24445.94745230185	9.0
115	2020-04-25	892145	19316967007.0	21652.272900705604	11.0
116	2020-04-26	767703	16785629655.0	21864.744119796327	11.0
117	2020-04-27	861360	15008006037.0	17423.616184870436	9.0
118	2020-04-28	863003	14151881576.0	16398.415273179817	9.0
119	2020-04-29	837622	14211040900.0	16965.935589084336	8.0
