		all_retweet_count_sum	all_perc_retweet_count	all_retweet_count_mean	all_retweet_count_median	all_favorite_count_sum	all_perc_favorite_count	all_favorite_count_mean	all_favorite_count_median	all_quote_retweet_count_sum	all_perc_quote_retweet_count	all_quote_retweet_count_mean	all_quote_retweet_count_median	all_quote_favorite_count_sum	all_perc_quote_favorite_count	all_quote_favorite_count_mean	all_quote_favorite_count_median	all_interactions_sum	all_perc_interactions	all_interactions_mean	all_interactions_median	all_rehydrated_sum	all_perc_rehydrated	all_rehydrated_mean	all_rehydrated_median	all_followers_count_sum	all_followers_count_mean	all_followers_count_median	all_perc_followers_count	covid_retweet_count_sum	covid_perc_retweet_count	covid_retweet_count_mean	covid_retweet_count_median	covid_favorite_count_sum	covid_perc_favorite_count	covid_favorite_count_mean	covid_favorite_count_median	covid_quote_retweet_count_sum	covid_perc_quote_retweet_count	covid_quote_retweet_count_mean	covid_quote_retweet_count_median	covid_quote_favorite_count_sum	covid_perc_quote_favorite_count	covid_quote_favorite_count_mean	covid_quote_favorite_count_median	covid_interactions_sum	covid_perc_interactions	covid_interactions_mean	covid_interactions_median	covid_rehydrated_sum	covid_perc_rehydrated	covid_rehydrated_mean	covid_rehydrated_median	covid_followers_count_sum	covid_followers_count_mean	covid_followers_count_median	covid_perc_followers_count	noncovid_retweet_count_sum	noncovid_perc_retweet_count	noncovid_retweet_count_mean	noncovid_retweet_count_median	noncovid_favorite_count_sum	noncovid_perc_favorite_count	noncovid_favorite_count_mean	noncovid_favorite_count_median	noncovid_quote_retweet_count_sum	noncovid_perc_quote_retweet_count	noncovid_quote_retweet_count_mean	noncovid_quote_retweet_count_median	noncovid_quote_favorite_count_sum	noncovid_perc_quote_favorite_count	noncovid_quote_favorite_count_mean	noncovid_quote_favorite_count_median	noncovid_interactions_sum	noncovid_perc_interactions	noncovid_interactions_mean	noncovid_interactions_median	noncovid_rehydrated_sum	noncovid_perc_rehydrated	noncovid_rehydrated_mean	noncovid_rehydrated_median	noncovid_followers_count_sum	noncovid_followers_count_mean	noncovid_followers_count_median	noncovid_perc_followers_count	blm_retweet_count_sum	blm_perc_retweet_count	blm_retweet_count_mean	blm_retweet_count_median	blm_favorite_count_sum	blm_perc_favorite_count	blm_favorite_count_mean	blm_favorite_count_median	blm_quote_retweet_count_sum	blm_perc_quote_retweet_count	blm_quote_retweet_count_mean	blm_quote_retweet_count_median	blm_quote_favorite_count_sum	blm_perc_quote_favorite_count	blm_quote_favorite_count_mean	blm_quote_favorite_count_median	blm_interactions_sum	blm_perc_interactions	blm_interactions_mean	blm_interactions_median	blm_rehydrated_sum	blm_perc_rehydrated	blm_rehydrated_mean	blm_rehydrated_median	blm_followers_count_sum	blm_followers_count_mean	blm_followers_count_median	blm_perc_followers_count	nonblm_retweet_count_sum	nonblm_perc_retweet_count	nonblm_retweet_count_mean	nonblm_retweet_count_median	nonblm_favorite_count_sum	nonblm_perc_favorite_count	nonblm_favorite_count_mean	nonblm_favorite_count_median	nonblm_quote_retweet_count_sum	nonblm_perc_quote_retweet_count	nonblm_quote_retweet_count_mean	nonblm_quote_retweet_count_median	nonblm_quote_favorite_count_sum	nonblm_perc_quote_favorite_count	nonblm_quote_favorite_count_mean	nonblm_quote_favorite_count_median	nonblm_interactions_sum	nonblm_perc_interactions	nonblm_interactions_mean	nonblm_interactions_median	nonblm_rehydrated_sum	nonblm_perc_rehydrated	nonblm_rehydrated_mean	nonblm_rehydrated_median	nonblm_followers_count_sum	nonblm_followers_count_mean	nonblm_followers_count_median	nonblm_perc_followers_count
party_score	Democrat	891905025443.0	0.6312453293986153	5915.331120403562	2.0	3452139630035.0	0.6335064427652677	22895.42989779859	7.0	92946255393.0	0.6643654680067169	616.4421786704323	0.0	371458442926.0	0.6639855767465017	2463.6027656481047	0.0	4808449353797.0	0.6359098762987576	31890.805962520688	24.0	150778546	0.6261130597846486	1	1	398151704.0	992.7534271850955	166.0	0.6459644577907465	122598748821.0	0.6430500381842443	7390.151083777319	67.0	462702233040.0	0.6482645497817966	27891.307552895876	180.0	12924433825.0	0.6744253823167085	779.0741712909834	0.0	48038327341.0	0.6726296572342259	2895.7106028893736	0.0	646263743027.0	0.6495181343151721	38956.24341085355	605.0	16589478	0.658902546001702	1	1	351705863.0	1376.588071595477	240.0	0.6644748512581216	769306276622.0	0.6294040199401312	5733.002606605778	1.0	2989437396995.0	0.6312820373350259	22277.801325775657	5.0	80021821568.0	0.6627687600178949	596.3363689805193	0.0	323420115585.0	0.6627205663710388	2410.182292830292	0.0	4162185610770.0	0.6338478953193114	31017.322594192246	15.0	134189068	0.6222846527938688	1	1	397059719.0	1000.2713653036135	167.0	0.6462505550917131	137885189560.0	0.6725054338473969	18565.19014600889	447.0	435894456552.0	0.6774212475631273	58689.867238842926	1383.0	9416391080.0	0.693614689787883	1267.8453099077135	0.0	31021283571.0	0.6942848579371794	4176.779463455499	0.0	614217320763.0	0.677383112877853	82699.68215821503	3345.0	7427082	0.6396898584911754	1	1	296620398.0	1592.8150936506572	274.0	0.7007650864607633	754019835883.0	0.624241716037007	5259.938160680382	1.0	3016245173483.0	0.6276265667727804	21040.90944954005	6.0	83529864313.0	0.6612221657216828	582.692788634513	0.0	340437159355.0	0.6613555965962301	2374.842571227595	0.0	4194232033034.0	0.6302589171336896	29258.382970082537	18.0	143351464	0.6254253274173952	1	1	397706947.0	995.5815351263668	167.0	0.6459160442369241
party_score	Independent	183444681524.0	0.12983288030866907	7269.43912200224	1.0	706403066724.0	0.12963290652129855	27992.929783979453	6.0	15797065107.0	0.11291497982967733	625.9969062478292	0.0	63330374472.0	0.11320365984450088	2509.6192376532754	0.0	968975187827.0	0.12814544700175842	38397.985049882795	22.0	25235053	0.10478941909718227	1	1	58705955.0	643.5292408879145	151.0	0.09524500337354569	23043469021.0	0.12086667911665752	10130.591548472243	98.0	86428705245.0	0.12109011302098022	37996.618916295396	270.0	1939300962.0	0.10119698939493085	852.5741466129615	0.0	7303724335.0	0.10226629168645943	3210.933560094292	0.0	118715199563.0	0.1193130138693107	52190.718171474895	858.0	2274642	0.09034445839961953	1	1	48028239.0	892.8509629684711	218.0	0.09073933739260558	160401212503.0	0.13123143671199358	6985.990473036393	1.0	619974361479.0	0.1309205131384792	27001.88430768944	5.0	13857764145.0	0.11477485739558431	603.5503521692186	0.0	56026650137.0	0.11480427939215894	2440.141430264467	0.0	850259988264.0	0.1294837747362392	37031.56656315952	14.0	22960411	0.10647597155335728	1	1	58452558.0	646.7708019828273	152.0	0.09513681757788822	25901553208.0	0.12632926953976967	23426.963096153326	998.0	79706296829.0	0.12387113032738653	72091.2934969203	2915.0	1363113645.0	0.10040743210320291	1232.8840977542216	0.0	4475240445.0	0.10015999723158407	4047.683623816286	0.0	111446204127.0	0.12290727421393724	100798.82431464414	6203.0	1105630	0.09522721012688405	1	1	36412124.0	1052.769075086015	244.0	0.08602356882779191	157543128316.0	0.13042759366489431	6529.088089507984	1.0	626696769895.0	0.1304043668448184	25972.30650293627	5.0	14433951462.0	0.11425911827010979	598.1888361773093	0.0	58855134027.0	0.11433585085401456	2439.1438629510535	0.0	857528983700.0	0.1288591771797033	35538.72729157261	16.0	24129423	0.10527379253111657	1	1	58656014.0	644.8408566214463	151.0	0.09526326059772257
party_score	Republican	337579599445.0	0.23892179029271562	5209.304068294153	2.0	1290714638283.0	0.23686065071343376	19917.450661321458	7.0	31158977059.0	0.22271955216360578	480.8246298774883	0.0	124648700426.0	0.22281076340899736	1923.4959200860512	0.0	1784101915213.0	0.2359446766994839	27531.07527957915	24.0	64803205	0.26909752111816915	1	1	159510160.0	664.0252771452479	149.0	0.2587905388357078	45009740079.0	0.23608328269909812	7129.332005610996	94.0	164624322890.0	0.23064533719722322	26075.721655395784	219.0	4299888297.0	0.22437762828836066	681.0821658278579	0.0	16076635895.0	0.22510405107931467	2546.4638237769746	0.0	230010587161.0	0.23116885181551713	36432.59965061161	691.0	6313318	0.2507529955986785	1	1	129564881.0	935.3244275360227	218.0	0.24478581134927288	292569859366.0	0.23936454334787527	5002.058892095312	1.0	1126090315393.0	0.23779744952649493	19252.735355652167	5.0	26859088762.0	0.22245638258652087	459.2091067298523	0.0	108572064531.0	0.22247515423680228	1856.253620920827	0.0	1554091328052.0	0.23666832994444936	26570.25697539816	15.0	58489887	0.2712393756527739	1	1	158892950.0	668.136786998297	151.0	0.2586126273303987	41245339681.0	0.20116529661283342	13401.22092613712	669.0	127860694160.0	0.1987076221094862	41543.83073239043	1693.0	2796319459.0	0.20597787810891408	908.5655528587628	0.0	9184392205.0	0.20555514483123652	2984.1448746316278	0.0	181086745505.0	0.19970961290820977	58837.762086017945	3812.0	3077730	0.2650829313819405	1	1	90248266.0	1134.156887386425	246.0	0.21321134471144482	296334259764.0	0.24533069029809876	4800.842112012909	1.0	1162853944123.0	0.24196906638240118	18839.12507960449	5.0	28362657600.0	0.22451871600820741	459.4967896156328	0.0	115464308221.0	0.22430855254975535	1870.6102823996089	0.0	1603015169708.0	0.240881905686607	25970.07426363264	17.0	61725475	0.2693008800514883	1	1	159362489.0	664.9912329018636	150.0	0.25882069516535333
gender	Female	788897919252.0	0.5914790372989533	6706.7946346861645	4.0	3019231651538.0	0.5865933857894748	25667.917416500866	14.0	70104503568.0	0.522582424541347	595.9915686468044	0.0	280439653641.0	0.5231800342323575	2384.150241106035	0.0	4158673727999.0	0.5815504445010078	35354.85386093987	53.0	117626670	0.503307704106476	1	1	276184178.0	745.3498730241835	154.0	0.45997057075596953	110469061875.0	0.6059167314607359	7994.04395430005	125.0	412651073234.0	0.6049200714881144	29861.30923203049	324.0	10094841460.0	0.5425340109485361	730.5086598295193	0.0	37671244295.0	0.5438899302440686	2726.062642300365	0.0	570886220864.0	0.5994533463877345	41311.92448846043	897.0	13818921	0.5603428284527325	1	1	237548500.0	1050.4859993278262	229.0	0.4604392159256198	678428857377.0	0.5891930235300188	6535.435590429766	2.0	2606580578304.0	0.5837933928484177	25109.691746653712	9.0	60009662108.0	0.5193694654279911	578.0846101190384	0.0	242768409346.0	0.5201069297026011	2338.6347520742406	0.0	3587787507135.0	0.5787998958282573	34561.84669927676	30.0	103807749	0.49657915509431805	1	1	274993140.0	751.0416251307528	155.0	0.45945376741906196	114432360417.0	0.5926496312254148	18533.79840719193	703.0	358464811193.0	0.59035693413794	58058.004942946136	2007.0	6484668734.0	0.4951995018715114	1050.2758364453157	0.0	21464316045.0	0.4980267467204245	3476.4231470592476	0.0	500846156389.0	0.5847727778706739	81118.50233364262	4226.0	6174253	0.5487185006361461	1	1	189622399.0	1266.4796492212338	264.0	0.45976383300932255	674465558835.0	0.591280888625753	6051.601005970108	3.0	2660766840345.0	0.5860900163278049	23873.567859412145	10.0	63619834834.0	0.5255445564938075	570.8250798544817	0.0	258975337596.0	0.5253792795437167	2323.6403890280817	0.0	3657827571610.0	0.581111990261213	32819.63433426482	37.0	111452417	0.5010107543525888	1	1	275817246.0	747.3689164912166	154.0	0.4598310808612527
gender	Male	544873642382.0	0.4085209627010466	4693.92506317227	1.0	2127828858656.0	0.4134066142105252	18330.615454480634	4.0	64045632900.0	0.4774175754586531	551.7341601289608	0.0	255589314002.0	0.47681996576764246	2201.8262465922276	0.0	2992337447940.0	0.4184495554989922	25778.100924374092	11.0	116080601	0.496692295893524	1	1	324254623.0	957.9416380346893	160.0	0.5400294292440305	71848171070.0	0.39408326853926406	6626.454797020574	34.0	269506938516.0	0.39507992851188556	24856.242253122076	92.0	8511994713.0	0.45746598905146385	785.0491857784267	0.0	31591380733.0	0.4561100697559314	2913.628186843298	0.0	381458485032.0	0.40054665361226555	35181.37442276438	398.0	10842626	0.43965717154726747	1	1	278368676.0	1344.0684663631228	227.0	0.5395607840743802	473025471312.0	0.41080697646998116	4494.817306319321	0.0	1858321920140.0	0.41620660715158225	17658.282764752934	3.0	55533638187.0	0.4806305345720089	527.6958074022234	0.0	223997933269.0	0.47989307029739897	2128.4895805815345	0.0	2610878962908.0	0.4212001041717427	24809.28545905601	7.0	105237975	0.503420844905682	1	1	323528756.0	963.7379461546252	161.0	0.540546232580938	78653662737.0	0.4073503687745852	15489.471635105918	353.0	248735325647.0	0.40964306586206006	48984.09860632756	1020.0	6610394386.0	0.5048004981284886	1301.8022654734389	0.0	21634405432.0	0.5019732532795754	4260.5200777726295	0.0	355633788202.0	0.415227222129326	70035.89258467955	2839.0	5077879	0.45128149936385387	1	1	222811954.0	1592.4808204981596	258.0	0.5402361669906774	466219979645.0	0.408719111374247	4200.0770003189655	1.0	1879093533009.0	0.41390998367219517	16928.35544167106	3.0	57435238514.0	0.47445544350619245	517.4218927171894	0.0	233954908570.0	0.4746207204562833	2107.6501941096544	0.0	2636703659738.0	0.418888009738787	23753.50452881687	9.0	111002722	0.4989892456474112	1	1	324005727.0	959.5961681988343	160.0	0.5401689191387473
race	African-American	157632405455.0	0.11623940098832614	7432.465599497261	1.0	603538303636.0	0.11535673653414547	28457.20501952295	5.0	17255829591.0	0.1281437738756326	813.6230583787382	0.0	69797562273.0	0.12961754457247396	3290.9983136109363	0.0	848224100955.0	0.11681630187349834	39994.291991009886	22.0	21208629	0.09083238706934989	1	1	42952487.0	834.0126793654492	175.0	0.07190379511199686	14717458330.0	0.08018166627249997	10427.493610994403	57.0	56393076813.0	0.08209531289663792	39955.16311218081	152.0	1443783866.0	0.0779729791076668	1022.9379761642443	0.0	5586805575.0	0.08101958055009928	3958.3179468176836	0.0	78141124584.0	0.08157152347128095	55363.912646157136	590.0	1411409	0.057809696558370774	1	1	35871073.0	1258.8108155530601	280.5	0.06992382817246492	142914947125.0	0.12188389270590823	7218.940190844977	1.0	547145226823.0	0.1203837918658559	27637.477727832495	4.0	15812045725.0	0.13614238006356957	798.7003086797035	0.0	64210756698.0	0.13675471666603217	3243.4228996798543	0.0	770082976371.0	0.12217269571100485	38898.54112703703	15.0	19797220	0.09468857340294827	1	1	42874066.0	837.0244426223107	176.0	0.07200031980090016	23894288074.0	0.12177024898350484	23598.201440525725	569.0	73567496773.0	0.11935143734776192	72655.88340393089	1803.0	1473678135.0	0.11281582364657614	1455.4170176791793	0.0	4882842594.0	0.11358368700704419	4822.336734986129	0.0	103818305576.0	0.11951410853469298	102531.83859712191	4476.0	1012547	0.09038584708138678	1	1	31761053.0	1309.3561858432618	299.0	0.07762342993762966	133738117381.0	0.11530370945861523	6621.983282747614	1.0	529970806863.0	0.1148232536567761	26241.268324371034	4.0	15782151456.0	0.12979039257185745	781.4461961483421	0.0	64914719679.0	0.13100862255869433	3214.223416155668	0.0	744405795379.0	0.11644970039454462	36858.92121942266	15.0	20196082	0.090854890892226	1	1	42886959.0	836.4270195420681	176.0	0.0718690798329329
race	Asian	37401504472.0	0.027580169593545846	7889.033286795534	3.0	142458100521.0	0.02722859753880181	30048.43556026441	10.0	3379324827.0	0.025095254574677567	712.7950178329276	0.0	13148933117.0	0.024418222769830435	2773.481241202974	0.0	196387862937.0	0.027046276868707943	41423.74510609585	36.0	4740949	0.020304552201089815	1	1	14832597.0	999.7032418952618	156.0	0.02483022730830043	4775424052.0	0.026016819552777598	8909.65581371051	46.0	17945860059.0	0.02612503307149321	33482.14413330273	121.0	419035074.0	0.022630404619289196	781.806650584067	0.0	1571633472.0	0.022791751560091868	2932.2450003078457	0.0	24711952657.0	0.025796808491215496	46105.85159790516	450.0	535983	0.021953249972506368	1	1	13333772.0	1371.6461269416727	220.0	0.02599165021405476	32626080420.0	0.027824897012679164	7758.940362419102	2.0	124512240462.0	0.02739538774296535	29610.760339560416	7.0	2960289753.0	0.02548821952962171	703.9984991555223	0.0	11577299645.0	0.024657088845038387	2753.2445315847976	0.0	171675910280.0	0.02723616725873913	40826.94373271984	23.0	4204966	0.02011202743354379	1	1	14778409.0	1008.9717348262443	157.0	0.024818037415637255	5592666223.0	0.028501387291692683	24132.74111743029	915.0	17189563878.0	0.027887304124957334	74174.15566180214	2740.0	303804247.0	0.023257403050655195	1310.9363138953854	0.0	992865708.0	0.02309583928756466	4284.284121408784	0.0	24078900056.0	0.027719276082599362	103902.1172145366	5992.5	231746	0.020686998744476118	1	1	11108966.0	1673.289049555656	258.0	0.027150108781988747	31808838249.0	0.02742432087054222	7054.20409083379	2.0	125268536643.0	0.027140628826920664	27780.63809569008	8.0	3075520580.0	0.02529268741045256	682.0541412750767	0.0	12156067409.0	0.02453295115281717	2695.835030935622	0.0	172308962881.0	0.02695482387072401	38212.73135873457	26.0	4509203	0.02028527843053411	1	1	14822971.0	1002.2970451010887	156.0	0.024840028554140418
race	Caucasian	1031016898331.0	0.7602801360856604	5257.763781158344	1.0	3993157248779.0	0.7632284246280869	20363.466000495966	7.0	105268319233.0	0.781734637846509	536.8253004025861	0.0	420622626195.0	0.7811171368102583	2145.0030674800637	0.0	5550065092538.0	0.7643476276346457	28303.05814953696	22.0	196094184	0.8398328257397646	1	1	519299307.0	848.0058966943566	159.0	0.8693231423905665	149634656305.0	0.8152192998020021	6957.712684422704	76.0	558863773876.0	0.8135767540239908	25986.049384412938	196.0	15795237022.0	0.8530374353948149	734.4469770253368	0.0	58585174685.0	0.8495993310869772	2724.093623031391	0.0	782878841888.0	0.8172472582933903	36402.30266889237	641.0	21506300	0.8808734230072851	1	1	446520380.0	1188.4961485432605	229.0	0.8704064784073715	881382242026.0	0.7516799381805028	5048.35857925857	1.0	3434293474903.0	0.7556188935241033	19670.85800125168	5.0	89473082211.0	0.7703670085250128	512.4816233582394	0.0	362037451510.0	0.7710597359349377	2073.668820626751	0.0	4767186250650.0	0.7563081032423163	27305.36702449524	13.0	174587884	0.8350403576562475	1	1	517601185.0	854.0893145024892	160.0	0.8692306171596808	150183846950.0	0.7653680402514965	15908.724411025232	503.0	475387424444.0	0.7712396763955878	50356.99695763237	1428.0	10649347327.0	0.8152491792205148	1128.067599965891	0.0	35056285901.0	0.8154721617079103	3713.453894004933	0.0	671276904622.0	0.7727641131370265	71107.24286262844	3375.0	9440345	0.8427002199063691	1	1	352903582.0	1439.2420177731738	262.0	0.8624898699711103	880833051381.0	0.7594193804047767	4719.072782537304	1.0	3517769824335.0	0.7621585408386204	18846.49061161287	5.0	94618971906.0	0.778134308409294	506.92218500793865	0.0	385566340294.0	0.7781365366236745	2065.6759183720833	0.0	4878788187916.0	0.7632039222397606	26138.161497530196	16.0	186653839	0.8396883205841666	1	1	518799685.0	849.8838289353839	159.0	0.8693937935437541
race	Hispanic	127235287333.0	0.09382432210861348	11462.909064430169	9.0	481949312319.0	0.0921169369185987	43419.88183135494	32.0	8519151392.0	0.06326419740248863	767.5092323800797	0.0	33974473793.0	0.06309228757827288	3060.8356515261894	0.0	651678224837.0	0.08974826363838863	58711.13577969138	139.0	11099738	0.047537994954052504	1	1	19759585.0	631.4580403937108	133.0	0.03307815799672057	14108167055.0	0.07686220794081153	15064.603677906613	166.0	52559867052.0	0.0765150436062913	56123.064280077866	464.0	834423955.0	0.04506389297063367	890.9921559917609	0.0	3125909930.0	0.04533179255410015	3337.825108300917	0.0	70628367992.0	0.07372895652665536	75416.48522227716	1276.0	936511	0.03835841824274634	1	1	16914530.0	864.3533139148653	196.0	0.03297165627964358	113127120278.0	0.09647957801105422	11131.023667777961	6.0	429389445267.0	0.09447497131349357	42249.3215262239	22.0	7684727437.0	0.06616582709211681	756.1306499402208	0.0	30848563863.0	0.06570062132237674	3035.311900737827	0.0	581049856845.0	0.09218282903457833	57171.78774467991	97.0	10163227	0.04860992936383622	1	1	19701160.0	635.5622943415705	134.0	0.0330850314138319	16152528399.0	0.0823166356230381	32183.595907046805	2136.0	48979795121.0	0.07946184395437682	97591.28074845533	6427.0	617186280.0	0.047248023070903714	1229.7315531185307	0.0	1994894273.0	0.04640482308297341	3974.7876972306517	0.0	67744404073.0	0.07798636296439702	134979.39590585133	12388.0	501887	0.04480135898297656	1	1	13119272.0	945.3287217178267	221.0	0.03206325970756406	111082758934.0	0.09577115644224692	10481.630562082823	6.0	432969517198.0	0.09380699475344761	40854.46353208778	22.0	7901965112.0	0.06498474918549163	745.6195706091735	0.0	31979579520.0	0.0645400717069841	3017.5532303671753	0.0	583933820764.0	0.09134657320015781	55099.26689514695	97.0	10597851	0.04767591042149008	1	1	19711656.0	632.0674661707176	133.0	0.033032385875233335
race	Native American	2815227323.0	0.002075971223854144	8079.84284467864	1.0	10826454466.0	0.0020693043803670687	31072.464356850523	6.0	237289123.0	0.0017621363006921672	681.0316193395441	0.0	944944142.0	0.0017548082691644803	2712.036822739979	0.0	14823915054.0	0.0020415299847593334	42545.375643608684	26.0	348426	0.0014922400357432488	1	1	516524.0	373.4808387563268	110.0	0.0008646771924156351	315709615.0	0.0017200064319087798	12864.054070572896	64.0	1159425701.0	0.00168785640158681	47242.51083856246	207.0	23984152.0	0.0012952879075953775	977.269660174395	0.0	86715522.0	0.001257544248731603	3533.3518865618125	0.0	1585834990.0	0.0016554532174579278	64617.18645587157	686.5	24542	0.0010052122190913728	1	1	362378.0	465.18356867779204	181.0	0.0007063869264652745	2499517708.0	0.002131694089855611	7717.32381963913	1.0	9667028765.0	0.002126955553581889	29847.194566573216	5.0	213304971.0	0.001836564789679084	658.5844654258932	0.0	858228620.0	0.001827837231615049	2649.8024601400502	0.0	13238080064.0	0.0021002047533612996	40872.90531177829	16.0	323884	0.0015491121434242027	1	1	515674.0	377.23043160204827	112.0	0.0008659942099498888	401021322.0	0.00204368785026787	25110.9155917345	597.5	1269610028.0	0.00205973817731617	79499.68866624922	1940.0	18674043.0	0.0014295710113501681	1169.3201628052598	0.0	62054062.0	0.0014434889145074322	3885.6644959298683	0.0	1751359455.0	0.00201613928128411	109665.58891671884	4548.5	15970	0.0014255752847914683	1	1	275506.0	528.8023032629559	203.0	0.0006733316017071789	2414206001.0	0.002081432823818833	7261.730878672666	1.0	9556844438.0	0.002070581924235109	28746.193294751785	5.0	218615080.0	0.0017978624229043785	657.5759799793055	0.0	882890080.0	0.0017818179578298885	2655.659936954063	0.0	13072555599.0	0.0020449802948128977	39321.16009035782	17.0	332456	0.0014955996715831262	1	1	516006.0	374.4600870827286	110.0	0.0008647121939392434
